iter	Passed	Remaining
0	10	2623
1	35	4451
2	46	3814
3	77	4784
4	105	5180
5	115	4680
6	155	5396
7	165	502088	197	529699	224	538010	278	6053
111	269	534412	319	5821
113	326	5506114	336	5271515	379	5546
16	389	53317	458	5912
18	468	5690
19	525	6038
20	534	5824
21	583	6047
2222	568	56023	637	5998
24	646	5814
25	705	6076
26	743	6140
27	758	6011
28	800	6102
29	816	5989
30	870	6146
31	879	5991
32	930	6120
33	939	5969
34	996	6119
35	1005	5978
36	1079	6214
37	1088	6074
38	1192	6449
39	1255	6590
40	1264	6445
41	1325	6562
42	1334	6425
43	1378	6455
44	1398	6369
45	1464	6493
46	1477	6380
47	1534	6458
48	1590	6524
49	1602	6409
50	1655	6460
51	1666	6346
52	1719	6390
53	1728	6272
54	1853	6571
55	1862	6451
56	1931	6540
57	1942	6429
58	2016	6527
59	2025	6415
60	2080	6446
61	2089	6336
62	2166	6430
63	2229	6480
64	2238	6371
65	2317	6461
66	2326	6355
67	2379	6367
68	2387	6263
69	2446	6291
70	2455	6190
71	2509	6202
72	2517	6105
73	2567	6105
74	2575	6010
75	2629	6019
76	2642	5937
77	2702	5958
78	2710	5867
79	2796	5941
80	2851	5948
81	2918	5980
82	2994	6024
83	3018	5965
84	3081	5982
85	3160	6026
86	3168	5937
87	3246	5977
88	3255	5889
89	3327	5915
90	3402	5944
91	3415	5866
92	3499	5908
93	3508	5822
94	3560	5809
95	3574	5733
96	3632	5729
97	3654	5667
98	3704	5650
99	3713	5570
100	3776	5570
101	3785	5492
102	3841	5482
103	3920	5503
104	3929	5426
105	4000	5434
106	4011	5361
107	4068	5348
108	4077	5274
109	4123	5248
110	4142	5186
111	4192	5165
112	4201	5093
113	4256	5078
114	4319	5070
115	4327	4999
116	4382	4982
117	4391	4912
118	4464	4914
119	4472	4845
120	4549	4850
121	4621	4848
122	4630	4780
123	4681	4756
124	4690	4690
125	4746	4671
126	4755	4605
127	4833	4606
128	4842	4541
129	4932	4553
130	4942	4489
131	5036	4502
132	5046	4439
133	5154	4461
134	5163	4398
135	5350	4484
136	5496	4533
137	5743	4661
138	5797	4629
139	5851	4597
140	5927	4582
141	5981	4549
142	5991	4482
143	6039	4445
144	6076	4400
145	6104	4348
146	6130	4295
147	6139	4231
148	6167	4180
149	6195	4130
150	6221	4078
151	6245	4026
152	6271	3975
153	6331	3947
154	6341	3886
155	6383	3846
156	6406	3795
157	6431	3744
158	6440	3685
159	6468	3638
160	6505	3596
161	6515	3539
162	6539	3490
163	6548	3433
164	6565	3382
165	6588	3333
166	6608	3284
167	6630	3236
168	6637	3181
169	6646	3127
170	6660	3077
171	6669	3024
172	6689	2977
173	6703	2928
174	6717	2878
175	6728	2829
176	6737	2778
177	6747	2729
178	6755	2679
179	6774	2634
180	6782	2585
181	6807	2543
182	6831	2501
183	6847	2456
184	6855	2408
185	6893	2372
186	6902	2325
187	6912	2279
188	6921	2233
189	6961	2198
190	6970	2153
191	6993	2112
192	7011	2070
193	7035	2030
194	7071	1994
195	7106	1957
196	7127	1917
197	7153	1878
198	7174	1838
199	7184	1796
200	7206	1756
201	7215	1714
202	7237	1675
203	7246	1633
204	7269	1595
205	7286	1556
206	7295	1515
207	7316	1477
208	7328	1437
209	7337	1397
210	7362	1360
211	7371	1321
212	7394	1284
213	7437	1251
214	7475	1216
215	7484	1178
216	7510	1142
217	7518	1103
218	7539	1067
219	7560	1031
220	7594	996
221	7620	961
222	7629	923
223	7665	889
224	7678	853
225	7694	817
226	7716	781
227	7736	746
228	7745	710
229	7761	674
230	7782	640
231	7802	605
232	7809	569
233	7816	534
234	7825	499
235	7834	464
236	7855	430
237	7863	396
238	7879	362
239	7903	329
240	7912	295
241	7921	261
242	7930	228
243	7939	195
244	7947	162
245	7956	129
246	7966	96
247	7972	64
248	7978	32
249	7984	0
