Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BWCH,BWCD,BWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Season,League,Referee,BFH,BFD,BFA,1XBH,1XBD,1XBA,BFEH,BFED,BFEA,BFE>2.5,BFE<2.5,BFEAHH,BFEAHA,BFCH,BFCD,BFCA,1XBCH,1XBCD,1XBCA,BFECH,BFECD,BFECA,BFEC>2.5,BFEC<2.5,BFECAHH,BFECAHA,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,CLH,CLD,CLA,LBH,LBD,LBA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,HomeTeam_encoded,AwayTeam_encoded,AvgForm_3,AvgAttack_3,AvgDefense_3,AvgForm_5,AvgAttack_5,AvgDefense_5,AvgForm_10,AvgAttack_10,AvgDefense_10,TotalGoals,BTTS,Over1.5,Over2.5,Over3.5,HomeElo,AwayElo,EloAdvantage,HomeScoringForm_3,HomeConcedingForm_3,HomeForm_3,HomeBTTSForm_3,HomeOver1.5Form_3,HomeOver2.5Form_3,AwayScoringForm_3,AwayConcedingForm_3,AwayForm_3,AwayBTTSForm_3,AwayOver1.5Form_3,AwayOver2.5Form_3,HomeScoringForm_5,HomeConcedingForm_5,HomeForm_5,HomeBTTSForm_5,HomeOver1.5Form_5,HomeOver2.5Form_5,AwayScoringForm_5,AwayConcedingForm_5,AwayForm_5,AwayBTTSForm_5,AwayOver1.5Form_5,AwayOver2.5Form_5,HomeScoringForm_10,HomeConcedingForm_10,HomeForm_10,HomeBTTSForm_10,HomeOver1.5Form_10,HomeOver2.5Form_10,AwayScoringForm_10,AwayConcedingForm_10,AwayForm_10,AwayBTTSForm_10,AwayOver1.5Form_10,AwayOver2.5Form_10,HomeShotAccuracy,HomeGoalConversion,HomexG,HomeShotVolume,HomeShotPressure,AwayShotAccuracy,AwayGoalConversion,AwayxG,AwayShotVolume,AwayShotPressure,HomeAttackStrength,HomeDefenseStrength,HomeFormMomentum,AwayAttackStrength,AwayDefenseStrength,AwayFormMomentum,SeasonProgress,HomeDaysRest,AwayDaysRest,DayOfWeek,Month,IsWeekend,MatchDensity,RefAvgGoals,RefHomeBias,RefCardTendency,RefOver25Rate,H2H_HomeWinRate,H2H_AvgGoals,H2H_BTTSRate,H2H_RecentForm,H2H_GoalTrend,GoalDiff,HomeScoringRate_3,HomeConcedingRate_3,HomeOverRate1.5_3,HomeOverRate2.5_3,HomeTotalGoalsRate_3,HomeGoalVariance_3,HomeScoringRate_5,HomeConcedingRate_5,HomeOverRate1.5_5,HomeOverRate2.5_5,HomeTotalGoalsRate_5,HomeGoalVariance_5,HomeScoringRate_10,HomeConcedingRate_10,HomeOverRate1.5_10,HomeOverRate2.5_10,HomeTotalGoalsRate_10,HomeGoalVariance_10,AwayScoringRate_3,AwayConcedingRate_3,AwayOverRate1.5_3,AwayOverRate2.5_3,AwayTotalGoalsRate_3,AwayGoalVariance_3,AwayScoringRate_5,AwayConcedingRate_5,AwayOverRate1.5_5,AwayOverRate2.5_5,AwayTotalGoalsRate_5,AwayGoalVariance_5,AwayScoringRate_10,AwayConcedingRate_10,AwayOverRate1.5_10,AwayOverRate2.5_10,AwayTotalGoalsRate_10,AwayGoalVariance_10,LeagueAvgGoals,CombinedGoalPotential,DefensiveStruggle,IsEarlySeason,HomeGW1ScoringHistory,HomeGW1FormHistory,AwayGW1ScoringHistory,AwayGW1FormHistory
D2,2021-07-23,19:30:00,Schalke 04,Hamburg,-0.38573611869509766,1.572642761016366,A,0.4050377013540243,-0.7216160495518811,H,0.28238170532433865,0.715398405171387,1.3753272423375071,1.011749442102111,2.2443706461990494,0.3423695788374902,-0.6364148198931934,0.31683578403973023,0.07479605029758327,-0.11678585224823967,-0.29101341690852234,-0.3265134539254345,0.23270250322388455,0.09414041009983151,-0.29148906578267897,0.030505159702422197,-0.23723679954204294,-0.47827683017054584,0.175361820925489,0.07892072862250175,-0.3266547540245272,0.01873145739936814,-0.3360449354242337,-0.45841901593055445,0.020302008550564563,-0.3060477805256161,-0.4775747321652596,-0.8380721617922035,0.8474158137118789,-0.7620096556166321,0.6947900354746535,-0.8658947213755059,0.6794673838234859,0.3931208392167317,0.1916225173634842,-0.018399322208962975,0.19477240329120968,-0.17196905554995665,0.2529882486220671,-0.031073804608529848,0.0765919975221897,0.15596756707908885,2.75,-0.05846989123894196,-0.1840871028164637,-0.46393135974818617,0.06330814587287174,0.06794588473248798,-0.29970848509551257,-0.06143947473043783,-0.23914336594412686,-0.4287272358416687,-0.07297983265132858,-0.23143234078136826,-0.4542923731691257,-0.750323980429533,0.5371044449392868,-0.7880430093704556,0.4656751656925028,-0.8086601161245851,0.5482568054017937,0.3810715192323268,-0.2141092913813444,0.32273554979123925,-0.12367198088536256,0.34089482620004946,1.88,0.4261800514418612,2021-2022,D2,0,-0.46949810562012584,-0.5425822289746728,-0.4312884705182726,0,-0.5364473150805391,-0.42926433491683247,-0.46789976439626024,-0.5315981914113979,-0.42281741211775614,-0.5456562595891775,-0.5400903125073333,-0.5104544555385593,-0.5105682600847822,-0.46641064949297917,-0.5416687984079669,-0.43278229576855337,-0.47188137177641254,-0.5423601176469139,-0.4420504936525566,-0.44848592184635494,-0.5368506566394016,-0.39648999342104796,-0.5617498986257398,-0.5546791940599687,-0.5735637959399471,-0.5735519580892376,-0.04394778200105777,-0.04680333007992662,-0.041233391264893615,-0.0405697636893819,-0.04320182932735571,-0.038887160528318844,-0.04413248580299964,-0.046914930383836415,-0.04201068026517843,-0.04437993997077323,-0.04683347175583113,-0.04286586877433645,-0.044585915475010174,-0.046828311340622736,-0.042935042795158605,-0.0446435953450565,-0.04629670731137552,-0.03910103123949362,-0.04311016699579664,-0.04521189772425422,-0.039931625889202585,-0.04495542556492774,-0.046329118401052416,-0.040905015066329084,-0.044936241669530114,-0.046446420789606764,-0.04088045350414631,385,207,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.7897909049764784,1,1,1,1,-0.13319506319182126,-0.11071107300648733,-0.016849271811147554,-1.7642290808463752,-1.655232285012391,-2.0207376412085885,-1.691933568672222,-2.688713423645106,-1.6111794499310337,-1.626472644561999,-1.8312546591816097,-1.5927364245217495,-1.7013378849808687,-2.703433845585167,-1.6344988655776145,-2.0553891110630866,-1.9842390271473915,-2.3739316035076063,-2.08043499350298,-3.214521769249557,-1.956292380313055,-1.9175354491989316,-2.1732803456918997,-1.8835608519814269,-2.0832574827502417,-3.2560289557382274,-1.9923182378050175,-2.3959111771902792,-2.411761481810666,-2.80500433986109,-2.6333316713911703,-3.8599054299944546,-2.4178858320247527,-2.270693059485666,-2.5945244889528105,-2.233538662812695,-2.609848780154583,-3.9514985336842328,-2.4722908893456674,1.3534026193939042,-0.6492053387001183,0.9806019197213944,0.28238170532433865,1.3753272423375071,0.5040086136234196,0.732800780256157,0.9527442408665694,0.715398405171387,1.011749442102111,-2.0971143036788655,-2.0158235231147814,0.0026193464297666045,-1.9562660787020618,-2.2097659480270537,0.0069866232498514555,-1.7008835204175135,-0.8132424444734604,-0.7941921739877013,4,7,0,-1.5899525387346884,-0.42130239117278445,0.16543364484263176,0.40664830159957843,0.39518961572473726,0.3415729161631387,-0.13122422921708635,-0.06439625463031352,0.31908952786849376,-0.015340626761491687,-1.2984803442373,-1.7642290808463752,-1.655232285012391,-2.688713423645106,-1.6111794499310337,-2.496825339517035,-1.705246050907863,-2.0553891110630866,-1.9842390271473915,-3.214521769249557,-1.956292380313055,-2.960135526794599,-2.296419885793832,-2.3959111771902792,-2.411761481810666,-3.8599054299944546,-2.4178858320247527,-3.530852979724832,-2.9480352771961464,-1.626472644561999,-1.8312546591816097,-2.703433845585167,-1.6344988655776145,-2.527669803990141,-1.7188300135038586,-1.9175354491989316,-2.1732803456918997,-3.2560289557382274,-1.9923182378050175,-3.011864327161205,-2.316692566254354,-2.270693059485666,-2.5945244889528105,-3.9514985336842328,-2.4722908893456674,-3.6131184125762665,-2.993065357691653,1.385712497634427,-2.6437385280295564,-2.7430689029968773,1,0.9298982670752812,0.12795719571520112,0.8189786194387131,1.6523191290485861
B1,2021-07-23,19:45:00,Standard,Genk,-0.38573611869509766,-0.1802185460220227,D,-0.8092192507643716,-0.7216160495518811,D,0.7747560050894462,1.2770300128879177,0.25720045668685576,0.5954528114914179,-0.0024679599632983903,-0.6678068371329461,0.6434082766575642,-0.4051323846309528,-0.6529203081012923,-0.11678585224823967,-0.29101341690852234,-0.3265134539254345,0.3280185635893499,0.16139864919343502,-0.36125127194996065,0.06895044609803956,-0.1128641115604389,-0.5316979159042489,0.2651153684885509,0.07892072862250175,-0.36844697997436526,0.04708425667825319,-0.1856854912194696,-0.500505216656644,0.09405096052911933,-0.18661207292106757,-0.5306053800217031,-1.0368717329569825,1.1462144883767535,-1.030437054399036,0.9554427137409723,-1.0583308465080468,0.9643647527815873,0.3931208392167317,0.8242322853089716,-0.6546338824941708,1.0586739950424335,-0.7861334079362505,1.0802508071533723,-0.778185999865949,0.7727423154649854,0.09067425328072952,2.05,0.3345318262600305,0.021072484158762384,-0.6422140351637837,0.4922873950082586,0.20496712871681483,-0.4788315120721054,0.39065931321832165,-0.05063723451119386,-0.5819938363925578,0.3608057854550287,-0.02767131298696208,-0.6494022108668752,-1.117557908436587,1.1997063449836958,-1.1790871710008153,1.0242172496842785,-1.1543574270126875,1.0584977455028097,0.7339171938446795,0.8815470483588954,-0.8494207328983439,0.9760423938648601,-0.8184979263639115,2.01,-0.8719134633071609,2021-2022,B1,0,-0.46949810562012584,-0.5425822289746728,-0.4312884705182726,0,-0.5364473150805391,-0.42926433491683247,-0.46789976439626024,-0.5315981914113979,-0.42281741211775614,-0.5456562595891775,-0.5400903125073333,-0.5104544555385593,-0.5105682600847822,-0.46641064949297917,-0.5416687984079669,-0.43278229576855337,-0.47188137177641254,-0.5423601176469139,-0.4420504936525566,-0.44848592184635494,-0.5368506566394016,-0.39648999342104796,-0.5617498986257398,-0.5546791940599687,-0.5735637959399471,-0.5735519580892376,-0.04394778200105777,-0.04680333007992662,-0.041233391264893615,-0.0405697636893819,-0.04320182932735571,-0.038887160528318844,-0.04413248580299964,-0.046914930383836415,-0.04201068026517843,-0.04437993997077323,-0.04683347175583113,-0.04286586877433645,-0.044585915475010174,-0.046828311340622736,-0.042935042795158605,-0.0446435953450565,-0.04629670731137552,-0.03910103123949362,-0.04311016699579664,-0.04521189772425422,-0.039931625889202585,-0.04495542556492774,-0.046329118401052416,-0.040905015066329084,-0.044936241669530114,-0.046446420789606764,-0.04088045350414631,412,188,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,-0.42066447322309836,1,1,0,0,-0.13319506319182126,-0.11071107300648733,-0.016849271811147554,-1.7642290808463752,-1.655232285012391,-2.0207376412085885,-1.691933568672222,-2.688713423645106,-1.6111794499310337,-1.626472644561999,-1.8312546591816097,-1.5927364245217495,-1.7013378849808687,-2.703433845585167,-1.6344988655776145,-2.0553891110630866,-1.9842390271473915,-2.3739316035076063,-2.08043499350298,-3.214521769249557,-1.956292380313055,-1.9175354491989316,-2.1732803456918997,-1.8835608519814269,-2.0832574827502417,-3.2560289557382274,-1.9923182378050175,-2.3959111771902792,-2.411761481810666,-2.80500433986109,-2.6333316713911703,-3.8599054299944546,-2.4178858320247527,-2.270693059485666,-2.5945244889528105,-2.233538662812695,-2.609848780154583,-3.9514985336842328,-2.4722908893456674,-0.21669640849366073,-0.3722690289543381,0.5088756226513625,0.7747560050894462,0.25720045668685576,-0.19575564676752585,-0.2977076657064663,0.9423123294734272,1.2770300128879177,0.5954528114914179,-2.0971143036788655,-2.0158235231147814,0.0026193464297666045,-1.9562660787020618,-2.2097659480270537,0.0069866232498514555,-1.7008835204175135,-0.8132424444734604,-0.7941921739877013,4,7,0,-1.6480651604294174,-0.42130239117278445,0.16543364484263176,0.40664830159957843,0.39518961572473726,0.3415729161631387,-0.13122422921708635,-0.06439625463031352,0.31908952786849376,-0.015340626761491687,-0.16135566662767217,-1.7642290808463752,-1.655232285012391,-2.688713423645106,-1.6111794499310337,-2.496825339517035,-1.705246050907863,-2.0553891110630866,-1.9842390271473915,-3.214521769249557,-1.956292380313055,-2.960135526794599,-2.296419885793832,-2.3959111771902792,-2.411761481810666,-3.8599054299944546,-2.4178858320247527,-3.530852979724832,-2.9480352771961464,-1.626472644561999,-1.8312546591816097,-2.703433845585167,-1.6344988655776145,-2.527669803990141,-1.7188300135038586,-1.9175354491989316,-2.1732803456918997,-3.2560289557382274,-1.9923182378050175,-3.011864327161205,-2.316692566254354,-2.270693059485666,-2.5945244889528105,-3.9514985336842328,-2.4722908893456674,-3.6131184125762665,-2.993065357691653,0.8760185149848957,-2.6437385280295564,-2.7430689029968773,1,-0.8510259057653027,-0.5051189002700402,2.811141806649697,2.026567188755225
D2,2021-07-24,12:30:00,Darmstadt,Regensburg,-1.1738795523618148,0.6962121074971717,A,-0.8092192507643716,0.6259937169143502,A,-0.5382421276175072,0.9026089410768972,-1.6063441860642298,1.011749442102111,2.857144811516053,0.5444048620315775,-1.2763263681685721,0.31683578403973023,0.07479605029758327,-1.5118670780712016,-0.29101341690852234,-0.3265134539254345,0.3597905837111719,-0.04037606808737548,-0.3263701688663198,0.2547693303435247,-0.6192386269141124,-0.5150038266124668,0.2351975193008637,-0.026255523298628822,-0.3266547540245272,0.17750713336112484,-0.4446378673498967,-0.48367073636620816,0.20802661358688587,-0.5648251470021388,-0.5164638739266515,-0.5824727131517724,0.3494180226037557,-0.6427085894911194,0.6473986394262317,-0.6734585962429643,0.39457001486538346,0.75699376788005,-1.3547569153921502,1.4661479851231922,-1.6194209393863583,2.460163883248444,-1.5853729925586135,1.930095707942199,0.0765919975221897,-0.039912374315989124,2.95,-0.08158763932711682,-0.5123424419768258,-0.38234437269359073,0.06330814587287174,-0.06907535925183857,-0.2588558649078686,-0.06646279459653527,-0.4427299878916945,-0.3699750389638279,-0.06669308456283052,-0.5185501526734855,-0.3937410442284449,-0.015856124415424284,-0.2625875033901724,0.04618453544097939,-0.11355366215082077,-0.08845738510770454,-0.19391183474514012,0.3810715192323268,-1.1412031173153931,1.1599900374266552,-1.1387929421932603,1.0862187385625939,1.81,1.1679477741555893,2021-2022,D2,0,-0.46949810562012584,-0.5425822289746728,-0.4312884705182726,0,-0.5364473150805391,-0.42926433491683247,-0.46789976439626024,-0.5315981914113979,-0.42281741211775614,-0.5456562595891775,-0.5400903125073333,-0.5104544555385593,-0.5105682600847822,-0.46641064949297917,-0.5416687984079669,-0.43278229576855337,-0.47188137177641254,-0.5423601176469139,-0.4420504936525566,-0.44848592184635494,-0.5368506566394016,-0.39648999342104796,-0.5617498986257398,-0.5546791940599687,-0.5735637959399471,-0.5735519580892376,-0.04394778200105777,-0.04680333007992662,-0.041233391264893615,-0.0405697636893819,-0.04320182932735571,-0.038887160528318844,-0.04413248580299964,-0.046914930383836415,-0.04201068026517843,-0.04437993997077323,-0.04683347175583113,-0.04286586877433645,-0.044585915475010174,-0.046828311340622736,-0.042935042795158605,-0.0446435953450565,-0.04629670731137552,-0.03910103123949362,-0.04311016699579664,-0.04521189772425422,-0.039931625889202585,-0.04495542556492774,-0.046329118401052416,-0.040905015066329084,-0.044936241669530114,-0.046446420789606764,-0.04088045350414631,129,365,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,-0.42066447322309836,0,1,0,0,-0.13319506319182126,-0.11071107300648733,-0.016849271811147554,-1.7642290808463752,-1.655232285012391,-2.0207376412085885,-1.691933568672222,-2.688713423645106,-1.6111794499310337,-1.626472644561999,-1.8312546591816097,-1.5927364245217495,-1.7013378849808687,-2.703433845585167,-1.6344988655776145,-2.0553891110630866,-1.9842390271473915,-2.3739316035076063,-2.08043499350298,-3.214521769249557,-1.956292380313055,-1.9175354491989316,-2.1732803456918997,-1.8835608519814269,-2.0832574827502417,-3.2560289557382274,-1.9923182378050175,-2.3959111771902792,-2.411761481810666,-2.80500433986109,-2.6333316713911703,-3.8599054299944546,-2.4178858320247527,-2.270693059485666,-2.5945244889528105,-2.233538662812695,-2.609848780154583,-3.9514985336842328,-2.4722908893456674,-1.8819529532228965,-1.1107658549430852,-1.2392865370787565,-0.5382421276175072,-1.6063441860642298,0.3553087082903439,0.16029608805469953,1.0361995320117081,0.9026089410768972,1.011749442102111,-2.0971143036788655,-2.0158235231147814,0.0026193464297666045,-1.9562660787020618,-2.2097659480270537,0.0069866232498514555,-1.6897404581929674,-0.8132424444734604,-0.7941921739877013,5,7,1,-1.5899525387346884,-0.42130239117278445,0.16543364484263176,0.40664830159957843,0.39518961572473726,0.3415729161631387,-0.13122422921708635,-0.06439625463031352,0.31908952786849376,-0.015340626761491687,-1.2984803442373,-1.7642290808463752,-1.655232285012391,-2.688713423645106,-1.6111794499310337,-2.496825339517035,-1.705246050907863,-2.0553891110630866,-1.9842390271473915,-3.214521769249557,-1.956292380313055,-2.960135526794599,-2.296419885793832,-2.3959111771902792,-2.411761481810666,-3.8599054299944546,-2.4178858320247527,-3.530852979724832,-2.9480352771961464,-1.626472644561999,-1.8312546591816097,-2.703433845585167,-1.6344988655776145,-2.527669803990141,-1.7188300135038586,-1.9175354491989316,-2.1732803456918997,-3.2560289557382274,-1.9923182378050175,-3.011864327161205,-2.316692566254354,-2.270693059485666,-2.5945244889528105,-3.9514985336842328,-2.4722908893456674,-3.6131184125762665,-2.993065357691653,1.385712497634427,-2.6437385280295564,-2.7430689029968773,1,1.2537026621372052,-0.34684987627372976,-0.43191454462399836,0.3892319275386817
D2,2021-07-24,12:30:00,Dresden,Ingolstadt,1.1905507486383369,-1.056649199541217,H,0.4050377013540243,-0.7216160495518811,H,0.7747560050894462,-0.22065427435616436,1.3753272423375071,-1.0697337109513538,-0.8195001803859703,0.1403342956434029,0.0034967283821853894,-1.4880846376369774,-1.380636666500168,-0.11678585224823967,-0.29101341690852234,-0.3265134539254345,0.07384240261477552,0.026882171006228014,-0.16940520498993605,-0.1296835336126512,-0.37937701437816185,-0.3447241158362883,0.04372328449966466,-0.061314273939005584,-0.20449286278653886,-0.10035029957194945,-0.41957795998243613,-0.3489948940427214,-0.12719589540654527,-0.4453894393975899,-0.36090730688108397,-0.2984733257735158,0.15021890616050598,-0.3146306576459599,0.07870188684517108,-0.3206590334999714,0.05787312427853634,0.029247910553413338,1.1756821563897963,-0.7960193403353284,1.404234631742923,-1.1370844664427022,1.539841117448545,-1.1517420974946597,0.01605718726629437,0.025380939482370198,3.0,-0.13938200954755373,-0.4056594567497079,-0.35817045060334035,-0.022487703954205823,-0.06907535925183857,-0.18029313377778405,-0.17697583165067637,-0.38240802583315586,-0.30100506871592775,-0.1609943058902994,-0.44445523347551996,-0.34328160344454406,0.11529884987280893,-0.30828418615185527,0.15046297854240884,-0.320421100666293,0.08439127033634695,-0.3330684547726897,0.028225844619974145,1.4715158466805658,-1.184322527952511,1.060635807307187,-1.1497529985250414,2.05,-1.0573553939855929,2021-2022,D2,0,-0.46949810562012584,-0.5425822289746728,-0.4312884705182726,0,-0.5364473150805391,-0.42926433491683247,-0.46789976439626024,-0.5315981914113979,-0.42281741211775614,-0.5456562595891775,-0.5400903125073333,-0.5104544555385593,-0.5105682600847822,-0.46641064949297917,-0.5416687984079669,-0.43278229576855337,-0.47188137177641254,-0.5423601176469139,-0.4420504936525566,-0.44848592184635494,-0.5368506566394016,-0.39648999342104796,-0.5617498986257398,-0.5546791940599687,-0.5735637959399471,-0.5735519580892376,-0.04394778200105777,-0.04680333007992662,-0.041233391264893615,-0.0405697636893819,-0.04320182932735571,-0.038887160528318844,-0.04413248580299964,-0.046914930383836415,-0.04201068026517843,-0.04437993997077323,-0.04683347175583113,-0.04286586877433645,-0.044585915475010174,-0.046828311340622736,-0.042935042795158605,-0.0446435953450565,-0.04629670731137552,-0.03910103123949362,-0.04311016699579664,-0.04521189772425422,-0.039931625889202585,-0.04495542556492774,-0.046329118401052416,-0.040905015066329084,-0.044936241669530114,-0.046446420789606764,-0.04088045350414631,137,226,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.18456321587669006,0,1,1,0,-0.13319506319182126,-0.11071107300648733,-0.016849271811147554,-1.7642290808463752,-1.655232285012391,-2.0207376412085885,-1.691933568672222,-2.688713423645106,-1.6111794499310337,-1.626472644561999,-1.8312546591816097,-1.5927364245217495,-1.7013378849808687,-2.703433845585167,-1.6344988655776145,-2.0553891110630866,-1.9842390271473915,-2.3739316035076063,-2.08043499350298,-3.214521769249557,-1.956292380313055,-1.9175354491989316,-2.1732803456918997,-1.8835608519814269,-2.0832574827502417,-3.2560289557382274,-1.9923182378050175,-2.3959111771902792,-2.411761481810666,-2.80500433986109,-2.6333316713911703,-3.8599054299944546,-2.4178858320247527,-2.270693059485666,-2.5945244889528105,-2.233538662812695,-2.609848780154583,-3.9514985336842328,-2.4722908893456674,0.7824575183438806,0.2739156937858155,1.2025907654014096,0.7747560050894462,1.3753272423375071,-1.1482125567440908,-0.9847132963482153,-0.7685211390019155,-0.22065427435616436,-1.0697337109513538,-2.0971143036788655,-2.0158235231147814,0.0026193464297666045,-1.9562660787020618,-2.2097659480270537,0.0069866232498514555,-1.6897404581929674,-0.8132424444734604,-0.7941921739877013,5,7,1,-1.5899525387346884,-0.42130239117278445,0.16543364484263176,0.40664830159957843,0.39518961572473726,0.3415729161631387,-0.13122422921708635,-0.06439625463031352,0.31908952786849376,-0.015340626761491687,1.5443313497867694,-1.7642290808463752,-1.655232285012391,-2.688713423645106,-1.6111794499310337,-2.496825339517035,-1.705246050907863,-2.0553891110630866,-1.9842390271473915,-3.214521769249557,-1.956292380313055,-2.960135526794599,-2.296419885793832,-2.3959111771902792,-2.411761481810666,-3.8599054299944546,-2.4178858320247527,-3.530852979724832,-2.9480352771961464,-1.626472644561999,-1.8312546591816097,-2.703433845585167,-1.6344988655776145,-2.527669803990141,-1.7188300135038586,-1.9175354491989316,-2.1732803456918997,-3.2560289557382274,-1.9923182378050175,-3.011864327161205,-2.316692566254354,-2.270693059485666,-2.5945244889528105,-3.9514985336842328,-2.4722908893456674,-3.6131184125762665,-2.993065357691653,1.385712497634427,-2.6437385280295564,-2.7430689029968773,1,0.33625687612842003,1.2358403636893733,-0.43191454462399836,0.15532689022203253
