Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Season,Winner
2020-12-29,Sacramento Kings,Denver Nuggets,125,115,0.489,0.543,0.485,0.393,0.773,0.8,37,39,33,27,10,19,2020-21,Home
2020-12-29,Phoenix Suns,New Orleans Pelicans,111,86,0.44,0.481,0.404,0.125,0.947,0.5,43,41,24,18,10,16,2020-21,Home
2020-12-29,LA Clippers,Minnesota Timberwolves,124,101,0.534,0.416,0.516,0.342,0.875,0.824,46,39,32,22,13,14,2020-21,Home
2020-12-29,Washington Wizards,Chicago Bulls,107,115,0.44,0.437,0.27,0.417,0.885,0.75,47,37,25,26,19,14,2020-21,Away
2020-12-29,Cleveland Cavaliers,New York Knicks,86,95,0.364,0.43,0.219,0.56,0.682,0.619,43,55,22,23,13,25,2020-21,Away
2020-12-29,Miami Heat,Milwaukee Bucks,97,144,0.468,0.554,0.297,0.569,0.667,0.867,30,45,23,32,21,17,2020-21,Away
2020-12-29,Indiana Pacers,Boston Celtics,111,116,0.512,0.5,0.364,0.409,0.813,0.73,36,43,27,21,14,14,2020-21,Away
2020-12-29,Detroit Pistons,Golden State Warriors,106,116,0.38,0.5,0.371,0.424,0.793,0.722,45,40,21,21,15,19,2020-21,Away
2020-12-29,Philadelphia 76ers,Toronto Raptors,100,93,0.381,0.356,0.258,0.378,0.848,0.857,54,47,21,21,18,19,2020-21,Home
2020-12-30,Miami Heat,Milwaukee Bucks,119,108,0.488,0.392,0.385,0.39,0.828,0.923,52,47,25,26,22,13,2020-21,Home
2020-12-30,LA Clippers,Portland Trail Blazers,128,105,0.495,0.421,0.474,0.316,0.727,0.853,47,41,30,14,10,17,2020-21,Home
2020-12-30,San Antonio Spurs,Los Angeles Lakers,107,121,0.46,0.561,0.417,0.538,0.739,0.75,39,47,25,25,10,17,2020-21,Away
2020-12-30,Boston Celtics,Memphis Grizzlies,126,107,0.538,0.43,0.41,0.273,0.857,0.72,42,46,27,26,16,22,2020-21,Home
2020-12-30,Dallas Mavericks,Charlotte Hornets,99,118,0.391,0.512,0.286,0.441,0.576,0.81,39,50,24,30,14,23,2020-21,Away
2020-12-30,Brooklyn Nets,Atlanta Hawks,145,141,0.54,0.475,0.463,0.391,0.783,0.829,40,54,30,27,8,12,2020-21,Home
2020-12-31,Orlando Magic,Philadelphia 76ers,92,116,0.347,0.484,0.25,0.455,0.905,0.867,48,54,17,23,11,14,2020-21,Away
2020-12-31,Houston Rockets,Sacramento Kings,122,119,0.523,0.469,0.361,0.333,0.76,0.75,45,45,26,23,18,15,2020-21,Home
2020-12-31,Toronto Raptors,New York Knicks,100,83,0.41,0.364,0.327,0.083,0.714,0.8,53,48,21,21,16,15,2020-21,Home
2020-12-31,Washington Wizards,Chicago Bulls,130,133,0.5,0.543,0.483,0.389,0.78,0.76,37,44,27,34,14,15,2020-21,Away
2020-12-31,Oklahoma City Thunder,New Orleans Pelicans,80,113,0.375,0.484,0.313,0.361,0.333,0.632,40,58,24,23,19,13,2020-21,Away
2020-12-31,Utah Jazz,Phoenix Suns,95,106,0.417,0.488,0.353,0.515,0.684,0.7,46,41,16,26,13,15,2020-21,Away
2020-12-31,Indiana Pacers,Cleveland Cavaliers,119,99,0.483,0.451,0.457,0.522,0.792,0.542,44,43,28,22,14,18,2020-21,Home
2021-01-01,Detroit Pistons,Boston Celtics,96,93,0.409,0.47,0.324,0.258,0.65,0.5,48,44,18,20,19,19,2020-21,Home
2021-01-01,Minnesota Timberwolves,Washington Wizards,109,130,0.477,0.551,0.361,0.485,0.571,0.762,43,43,17,35,20,16,2020-21,Away
2021-01-01,Golden State Warriors,Portland Trail Blazers,98,123,0.392,0.435,0.2,0.465,0.879,0.767,44,51,19,23,15,10,2020-21,Away
2021-01-01,San Antonio Spurs,Los Angeles Lakers,103,109,0.424,0.406,0.382,0.424,0.692,0.813,45,58,23,27,13,13,2020-21,Away
2021-01-01,Milwaukee Bucks,Chicago Bulls,126,96,0.494,0.437,0.489,0.231,0.667,0.7,44,42,27,18,17,20,2020-21,Home
2021-01-01,Denver Nuggets,Phoenix Suns,103,106,0.453,0.487,0.414,0.371,0.813,0.905,38,37,28,24,11,17,2020-21,Away
2021-01-01,Charlotte Hornets,Memphis Grizzlies,93,108,0.407,0.478,0.29,0.359,0.667,0.8,42,48,23,34,18,15,2020-21,Away
2021-01-01,Dallas Mavericks,Miami Heat,93,83,0.41,0.372,0.324,0.212,0.739,0.72,49,41,18,20,16,14,2020-21,Home
2021-01-01,Utah Jazz,LA Clippers,106,100,0.461,0.388,0.357,0.394,0.643,0.875,46,43,28,19,13,8,2020-21,Home
2021-01-01,Brooklyn Nets,Atlanta Hawks,96,114,0.407,0.462,0.189,0.41,0.826,0.857,45,48,19,24,15,9,2020-21,Away
2021-01-02,Atlanta Hawks,Cleveland Cavaliers,91,96,0.412,0.418,0.344,0.241,0.526,0.765,48,46,22,19,20,15,2020-21,Away
2021-01-02,New Orleans Pelicans,Toronto Raptors,120,116,0.422,0.418,0.368,0.292,0.766,0.963,50,40,26,21,12,9,2020-21,Home
2021-01-02,Philadelphia 76ers,Charlotte Hornets,127,112,0.595,0.413,0.457,0.371,0.708,0.885,45,40,35,34,21,12,2020-21,Home
2021-01-02,Orlando Magic,Oklahoma City Thunder,99,108,0.37,0.442,0.263,0.317,0.75,0.905,55,52,21,22,6,10,2020-21,Away
2021-01-02,Houston Rockets,Sacramento Kings,102,94,0.444,0.389,0.317,0.321,0.739,0.714,48,47,15,11,13,14,2020-21,Home
2021-01-02,Indiana Pacers,New York Knicks,102,106,0.405,0.506,0.38,0.444,0.833,0.769,32,51,22,23,8,15,2020-21,Away
2021-01-03,Brooklyn Nets,Washington Wizards,122,123,0.494,0.413,0.438,0.364,0.903,0.735,51,49,25,27,20,7,2020-21,Away
2021-01-03,Phoenix Suns,LA Clippers,107,112,0.493,0.482,0.303,0.586,0.821,0.789,40,37,23,24,13,10,2020-21,Away
2021-01-03,Chicago Bulls,Dallas Mavericks,118,108,0.459,0.438,0.351,0.262,0.9,0.704,48,41,16,23,16,15,2020-21,Home
2021-01-03,Detroit Pistons,Boston Celtics,120,122,0.477,0.563,0.444,0.455,0.88,0.692,33,41,29,35,9,17,2020-21,Away
2021-01-03,Minnesota Timberwolves,Denver Nuggets,109,124,0.518,0.489,0.323,0.422,0.688,0.714,36,43,30,34,14,15,2020-21,Away
2021-01-03,San Antonio Spurs,Utah Jazz,109,130,0.419,0.551,0.316,0.512,0.714,0.579,45,57,23,29,7,19,2020-21,Away
2021-01-03,Golden State Warriors,Portland Trail Blazers,137,122,0.557,0.418,0.382,0.326,0.765,0.788,53,40,23,16,15,12,2020-21,Home
2021-01-03,Memphis Grizzlies,Los Angeles Lakers,94,108,0.411,0.461,0.273,0.343,0.875,0.737,50,49,23,24,11,10,2020-21,Away
2021-01-04,Houston Rockets,Dallas Mavericks,100,113,0.39,0.476,0.275,0.41,0.806,0.95,35,51,17,24,12,15,2020-21,Away
2021-01-04,Orlando Magic,Cleveland Cavaliers,103,83,0.432,0.388,0.441,0.357,0.923,0.583,54,35,22,20,19,14,2020-21,Home
2021-01-04,Milwaukee Bucks,Detroit Pistons,125,115,0.576,0.439,0.412,0.425,0.813,1.0,49,31,32,27,19,8,2020-21,Home
2021-01-04,Toronto Raptors,Boston Celtics,114,126,0.4,0.488,0.351,0.517,0.763,0.853,37,56,20,19,10,19,2020-21,Away
2021-01-04,Golden State Warriors,Sacramento Kings,137,106,0.526,0.378,0.535,0.286,0.857,0.718,48,52,41,20,11,14,2020-21,Home
2021-01-04,Philadelphia 76ers,Charlotte Hornets,118,101,0.484,0.419,0.344,0.333,0.652,0.727,55,47,34,30,10,16,2020-21,Home
2021-01-04,Miami Heat,Oklahoma City Thunder,118,90,0.568,0.367,0.471,0.271,0.556,0.704,47,38,34,20,14,15,2020-21,Home
2021-01-04,New Orleans Pelicans,Indiana Pacers,116,118,0.436,0.484,0.333,0.422,0.792,0.692,57,42,26,32,18,14,2020-21,Away
2021-01-04,Atlanta Hawks,New York Knicks,108,113,0.46,0.506,0.323,0.333,0.783,0.8,40,45,24,26,12,15,2020-21,Away
2021-01-05,Brooklyn Nets,Utah Jazz,130,96,0.559,0.384,0.389,0.324,0.75,0.704,51,41,31,17,12,15,2020-21,Home
2021-01-05,Portland Trail Blazers,Chicago Bulls,108,111,0.415,0.44,0.373,0.39,0.647,0.833,46,52,23,27,11,15,2020-21,Away
2021-01-05,LA Clippers,San Antonio Spurs,113,116,0.5,0.458,0.429,0.5,0.923,0.727,45,44,29,23,13,10,2020-21,Away
2021-01-05,Memphis Grizzlies,Los Angeles Lakers,92,94,0.414,0.437,0.385,0.29,0.769,0.818,38,52,24,24,13,17,2020-21,Away
2021-01-05,Denver Nuggets,Minnesota Timberwolves,123,116,0.519,0.462,0.32,0.324,0.733,0.778,42,42,22,24,14,14,2020-21,Home
