Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Season,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Winner
2020-11-13,Valencia,Bayern Munich,79.0,90.0,2020-21,,,,,,,,,,,,,Away
2020-11-13,Efes,Panathinaikos,80.0,77.0,2020-21,,,,,,,,,,,,,Home
2020-11-17,Bayern Munich,Efes,74.0,71.0,2020-21,,,,,,,,,,,,,Home
2020-11-17,Khimki,Zenit,88.0,83.0,2020-21,,,,,,,,,,,,,Home
2020-11-17,Panathinaikos,Valencia,83.0,95.0,2020-21,,,,,,,,,,,,,Away
2020-11-17,Fenerbahce,Baskonia,68.0,86.0,2020-21,,,,,,,,,,,,,Away
2020-11-17,CSKA Moscow,Zalgiris,87.0,78.0,2020-21,,,,,,,,,,,,,Home
2020-11-18,ASVEL,ALBA Berlin,75.0,76.0,2020-21,,,,,,,,,,,,,Away
2020-11-18,Red Star Belgrade,Olimpia Milano,87.0,79.0,2020-21,,,,,,,,,,,,,Home
2020-11-18,Maccabi Tel Aviv,Real Madrid,63.0,79.0,2020-21,,,,,,,,,,,,,Away
2020-11-19,CSKA Moscow,Bayern Munich,89.0,81.0,2020-21,,,,,,,,,,,,,Home
2020-11-19,Efes,Khimki,105.0,77.0,2020-21,,,,,,,,,,,,,Home
2020-11-19,Panathinaikos,Baskonia,72.0,93.0,2020-21,,,,,,,,,,,,,Away
2020-11-20,Maccabi Tel Aviv,Valencia,80.0,82.0,2020-21,,,,,,,,,,,,,Away
2020-11-20,Fenerbahce,Real Madrid,74.0,94.0,2020-21,,,,,,,,,,,,,Away
2020-11-20,Red Star Belgrade,Barcelona,65.0,76.0,2020-21,,,,,,,,,,,,,Away
2020-11-20,Zenit,ALBA Berlin,73.0,66.0,2020-21,,,,,,,,,,,,,Home
2020-11-20,Zalgiris,Olimpia Milano,92.0,98.0,2020-21,,,,,,,,,,,,,Away
2020-11-23,Zenit,Baskonia,77.0,70.0,2020-21,,,,,,,,,,,,,Home
2020-11-26,Khimki,ALBA Berlin,80.0,100.0,2020-21,,,,,,,,,,,,,Away
