Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Season,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Winner
2021-03-18,Baskonia,Zenit,79.0,75.0,2020-21,,,,,,,,,,,,,Home
2021-03-18,Zalgiris,Fenerbahce,61.0,84.0,2020-21,,,,,,,,,,,,,Away
2021-03-18,Olympiacos,ALBA Berlin,84.0,80.0,2020-21,,,,,,,,,,,,,Home
2021-03-18,CSKA Moscow,Real Madrid,96.0,89.0,2020-21,,,,,,,,,,,,,Home
2021-03-19,Efes,Bayern Munich,79.0,80.0,2020-21,,,,,,,,,,,,,Away
2021-03-19,Valencia,Khimki,77.0,68.0,2020-21,,,,,,,,,,,,,Home
2021-03-19,Barcelona,Olimpia Milano,72.0,56.0,2020-21,,,,,,,,,,,,,Home
2021-03-19,Red Star Belgrade,Panathinaikos,86.0,82.0,2020-21,,,,,,,,,,,,,Home
2021-03-25,Maccabi Tel Aviv,Zalgiris,88.0,81.0,2020-21,,,,,,,,,,,,,Home
2021-03-25,Real Madrid,ASVEL,74.0,71.0,2020-21,,,,,,,,,,,,,Home
2021-03-25,Bayern Munich,Valencia,76.0,83.0,2020-21,,,,,,,,,,,,,Away
2021-03-25,Panathinaikos,Efes,65.0,85.0,2020-21,,,,,,,,,,,,,Away
2021-03-25,Red Star Belgrade,CSKA Moscow,72.0,87.0,2020-21,,,,,,,,,,,,,Away
2021-03-26,ALBA Berlin,Barcelona,67.0,80.0,2020-21,,,,,,,,,,,,,Away
2021-03-26,Zenit,Khimki,91.0,70.0,2020-21,,,,,,,,,,,,,Home
2021-03-26,Fenerbahce,Olympiacos,76.0,71.0,2020-21,,,,,,,,,,,,,Home
2021-03-26,Olimpia Milano,Baskonia,69.0,86.0,2020-21,,,,,,,,,,,,,Away
2021-03-30,CSKA Moscow,Zenit,86.0,74.0,2020-21,,,,,,,,,,,,,Home
2021-03-30,ALBA Berlin,Zalgiris,86.0,96.0,2020-21,,,,,,,,,,,,,Away
2021-03-30,Olimpia Milano,Red Star Belgrade,93.0,72.0,2020-21,,,,,,,,,,,,,Home
2021-03-30,Fenerbahce,Bayern Munich,77.0,68.0,2020-21,,,,,,,,,,,,,Home
2021-03-30,Baskonia,Panathinaikos,97.0,82.0,2020-21,,,,,,,,,,,,,Home
2021-03-30,Barcelona,Maccabi Tel Aviv,94.0,99.0,2020-21,,,,,,,,,,,,,Away
2021-03-30,Efes,Real Madrid,108.0,83.0,2020-21,,,,,,,,,,,,,Home
2021-03-31,ASVEL,Khimki,85.0,87.0,2020-21,,,,,,,,,,,,,Away
2021-03-31,Olympiacos,Valencia,88.0,79.0,2020-21,,,,,,,,,,,,,Home
2021-04-01,Zalgiris,Bayern Munich,70.0,71.0,2020-21,,,,,,,,,,,,,Away
2021-04-01,Olimpia Milano,Panathinaikos,83.0,86.0,2020-21,,,,,,,,,,,,,Away
2021-04-01,Maccabi Tel Aviv,Red Star Belgrade,64.0,76.0,2020-21,,,,,,,,,,,,,Away
2021-04-01,Efes,Baskonia,111.0,101.0,2020-21,,,,,,,,,,,,,Home
2021-04-02,Barcelona,Fenerbahce,82.0,73.0,2020-21,,,,,,,,,,,,,Home
2021-04-02,Olympiacos,Real Madrid,63.0,72.0,2020-21,,,,,,,,,,,,,Away
2021-04-02,ASVEL,Zenit,53.0,87.0,2020-21,,,,,,,,,,,,,Away
2021-04-02,Valencia,ALBA Berlin,90.0,86.0,2020-21,,,,,,,,,,,,,Home
2021-04-02,Khimki,CSKA Moscow,72.0,97.0,2020-21,,,,,,,,,,,,,Away
2021-04-04,ASVEL,Maccabi Tel Aviv,74.0,67.0,2020-21,,,,,,,,,,,,,Home
2021-04-06,Khimki,Maccabi Tel Aviv,62.0,92.0,2020-21,,,,,,,,,,,,,Away
2021-04-08,Red Star Belgrade,ALBA Berlin,58.0,81.0,2020-21,,,,,,,,,,,,,Away
2021-04-08,ASVEL,CSKA Moscow,70.0,88.0,2020-21,,,,,,,,,,,,,Away
2021-04-08,Real Madrid,Fenerbahce,93.0,67.0,2020-21,,,,,,,,,,,,,Home
2021-04-08,Baskonia,Valencia,81.0,86.0,2020-21,,,,,,,,,,,,,Away
2021-04-08,Panathinaikos,Zalgiris,78.0,93.0,2020-21,,,,,,,,,,,,,Away
2021-04-09,Maccabi Tel Aviv,Zenit,69.0,86.0,2020-21,,,,,,,,,,,,,Away
2021-04-09,Bayern Munich,Barcelona,82.0,72.0,2020-21,,,,,,,,,,,,,Home
2021-04-09,Efes,Olimpia Milano,75.0,98.0,2020-21,,,,,,,,,,,,,Away
2021-04-09,Khimki,Olympiacos,75.0,82.0,2020-21,,,,,,,,,,,,,Away
2021-04-12,Panathinaikos,Zenit,83.0,112.0,2020-21,,,,,,,,,,,,,Away
2021-04-14,Panathinaikos,CSKA Moscow,86.0,93.0,2020-21,,,,,,,,,,,,,Away
2021-04-20,Real Madrid,Efes,63.0,90.0,2020-21,,,,,,,,,,,,,Away
2021-04-20,Bayern Munich,Olimpia Milano,78.0,79.0,2020-21,,,,,,,,,,,,,Away
2021-04-21,Zenit,Barcelona,76.0,74.0,2020-21,,,,,,,,,,,,,Home
2021-04-21,Fenerbahce,CSKA Moscow,76.0,92.0,2020-21,,,,,,,,,,,,,Away
2021-04-22,Real Madrid,Efes,68.0,91.0,2020-21,,,,,,,,,,,,,Away
2021-04-22,Bayern Munich,Olimpia Milano,69.0,80.0,2020-21,,,,,,,,,,,,,Away
2021-04-23,Zenit,Barcelona,78.0,81.0,2020-21,,,,,,,,,,,,,Away
2021-04-23,Fenerbahce,CSKA Moscow,67.0,78.0,2020-21,,,,,,,,,,,,,Away
2021-04-27,Efes,Real Madrid,76.0,80.0,2020-21,,,,,,,,,,,,,Away
2021-04-28,Olimpia Milano,Bayern Munich,79.0,85.0,2020-21,,,,,,,,,,,,,Away
2021-04-28,Barcelona,Zenit,78.0,70.0,2020-21,,,,,,,,,,,,,Home
2021-04-28,CSKA Moscow,Fenerbahce,85.0,68.0,2020-21,,,,,,,,,,,,,Home
2021-04-29,Efes,Real Madrid,76.0,82.0,2020-21,,,,,,,,,,,,,Away
2021-04-30,Barcelona,Zenit,61.0,74.0,2020-21,,,,,,,,,,,,,Away
2021-04-30,Olimpia Milano,Bayern Munich,82.0,85.0,2020-21,,,,,,,,,,,,,Away
2021-05-04,Real Madrid,Efes,83.0,88.0,2020-21,,,,,,,,,,,,,Away
2021-05-04,Zenit,Barcelona,53.0,79.0,2020-21,,,,,,,,,,,,,Away
2021-05-04,Bayern Munich,Olimpia Milano,89.0,92.0,2020-21,,,,,,,,,,,,,Away
2021-05-28,Olimpia Milano,Barcelona,82.0,84.0,2020-21,,,,,,,,,,,,,Away
2021-05-28,Efes,CSKA Moscow,89.0,86.0,2020-21,,,,,,,,,,,,,Home
2021-05-30,Efes,Barcelona,86.0,81.0,2020-21,,,,,,,,,,,,,Home
2021-05-30,CSKA Moscow,Olimpia Milano,73.0,83.0,2020-21,,,,,,,,,,,,,Away
2021-09-30,Bayern Munich,Maccabi Tel Aviv,68.0,69.0,2021-22,,,,,,,,,,,,,Away
2021-09-30,CSKA Moscow,Olimpia Milano,74.0,84.0,2021-22,,,,,,,,,,,,,Away
2021-09-30,Panathinaikos,Monaco,63.0,75.0,2021-22,,,,,,,,,,,,,Away
2021-09-30,Efes,Real Madrid,69.0,82.0,2021-22,,,,,,,,,,,,,Away
2021-10-01,Zalgiris,ASVEL,76.0,88.0,2021-22,,,,,,,,,,,,,Away
2021-10-01,Zenit,UNICS Kazan,70.0,69.0,2021-22,,,,,,,,,,,,,Home
2021-10-01,Red Star Belgrade,Fenerbahce,57.0,61.0,2021-22,,,,,,,,,,,,,Away
2021-10-01,Baskonia,Olympiacos,50.0,75.0,2021-22,,,,,,,,,,,,,Away
2021-10-01,ALBA Berlin,Barcelona,64.0,96.0,2021-22,,,,,,,,,,,,,Away
2021-10-07,Barcelona,Bayern Munich,80.0,72.0,2021-22,,,,,,,,,,,,,Home
2021-10-07,Red Star Belgrade,Maccabi Tel Aviv,75.0,63.0,2021-22,,,,,,,,,,,,,Home
2021-10-07,Fenerbahce,Panathinaikos,87.0,91.0,2021-22,,,,,,,,,,,,,Away
2021-10-07,Zenit,Zalgiris,70.0,64.0,2021-22,,,,,,,,,,,,,Home
2021-10-08,ASVEL,ALBA Berlin,71.0,67.0,2021-22,,,,,,,,,,,,,Home
2021-10-08,CSKA Moscow,Efes,100.0,96.0,2021-22,,,,,,,,,,,,,Home
2021-10-08,Real Madrid,Olympiacos,68.0,74.0,2021-22,,,,,,,,,,,,,Away
2021-10-08,Monaco,UNICS Kazan,88.0,80.0,2021-22,,,,,,,,,,,,,Home
2021-10-08,Olimpia Milano,Baskonia,78.0,64.0,2021-22,,,,,,,,,,,,,Home
2021-10-12,Panathinaikos,Baskonia,79.0,81.0,2021-22,,,,,,,,,,,,,Away
2021-10-12,Efes,ASVEL,73.0,75.0,2021-22,,,,,,,,,,,,,Away
2021-10-12,Bayern Munich,UNICS Kazan,70.0,73.0,2021-22,,,,,,,,,,,,,Away
2021-10-12,Zenit,CSKA Moscow,67.0,77.0,2021-22,,,,,,,,,,,,,Away
2021-10-12,Fenerbahce,ALBA Berlin,70.0,84.0,2021-22,,,,,,,,,,,,,Away
2021-10-12,Maccabi Tel Aviv,Olimpia Milano,72.0,83.0,2021-22,,,,,,,,,,,,,Away
2021-10-13,Olympiacos,Barcelona,78.0,79.0,2021-22,,,,,,,,,,,,,Away
2021-10-13,Monaco,Real Madrid,86.0,94.0,2021-22,,,,,,,,,,,,,Away
2021-10-13,Zalgiris,Red Star Belgrade,61.0,73.0,2021-22,,,,,,,,,,,,,Away
2021-10-14,Baskonia,ALBA Berlin,80.0,76.0,2021-22,,,,,,,,,,,,,Home
2021-10-14,Bayern Munich,Zenit,71.0,79.0,2021-22,,,,,,,,,,,,,Away
2021-10-14,UNICS Kazan,Fenerbahce,41.0,80.0,2021-22,,,,,,,,,,,,,Away
2021-10-14,Maccabi Tel Aviv,ASVEL,93.0,85.0,2021-22,,,,,,,,,,,,,Home
2021-10-15,Zalgiris,Olympiacos,68.0,83.0,2021-22,,,,,,,,,,,,,Away
2021-10-15,Red Star Belgrade,CSKA Moscow,76.0,78.0,2021-22,,,,,,,,,,,,,Away
2021-10-15,Efes,Olimpia Milano,71.0,75.0,2021-22,,,,,,,,,,,,,Away
2021-10-15,Barcelona,Monaco,85.0,81.0,2021-22,,,,,,,,,,,,,Home
2021-10-15,Panathinaikos,Real Madrid,65.0,88.0,2021-22,,,,,,,,,,,,,Away
2021-10-21,Bayern Munich,Zalgiris,75.0,73.0,2021-22,,,,,,,,,,,,,Home
2021-10-21,ASVEL,Olimpia Milano,72.0,73.0,2021-22,,,,,,,,,,,,,Away
2021-10-21,Fenerbahce,Real Madrid,69.0,70.0,2021-22,,,,,,,,,,,,,Away
2021-10-21,Panathinaikos,Maccabi Tel Aviv,73.0,77.0,2021-22,,,,,,,,,,,,,Away
2021-10-21,UNICS Kazan,Efes,68.0,71.0,2021-22,,,,,,,,,,,,,Away
2021-10-22,Zenit,Barcelona,58.0,84.0,2021-22,,,,,,,,,,,,,Away
2021-10-22,Olympiacos,CSKA Moscow,82.0,88.0,2021-22,,,,,,,,,,,,,Away
2021-10-22,ALBA Berlin,Red Star Belgrade,78.0,63.0,2021-22,,,,,,,,,,,,,Home
2021-10-22,Monaco,Baskonia,66.0,78.0,2021-22,,,,,,,,,,,,,Away
2021-10-26,Olimpia Milano,Bayern Munich,77.0,83.0,2021-22,,,,,,,,,,,,,Away
2021-10-26,Zalgiris,Maccabi Tel Aviv,62.0,76.0,2021-22,,,,,,,,,,,,,Away
2021-10-26,Red Star Belgrade,Monaco,62.0,70.0,2021-22,,,,,,,,,,,,,Away
2021-10-26,ALBA Berlin,Olympiacos,83.0,87.0,2021-22,,,,,,,,,,,,,Away
2021-10-26,Barcelona,Fenerbahce,76.0,74.0,2021-22,,,,,,,,,,,,,Home
2021-10-27,Baskonia,UNICS Kazan,69.0,83.0,2021-22,,,,,,,,,,,,,Away
2021-10-27,CSKA Moscow,ASVEL,68.0,70.0,2021-22,,,,,,,,,,,,,Away
2021-10-27,Efes,Panathinaikos,69.0,95.0,2021-22,,,,,,,,,,,,,Away
2021-10-27,Real Madrid,Zenit,75.0,68.0,2021-22,,,,,,,,,,,,,Home
2021-10-28,Bayern Munich,ALBA Berlin,82.0,69.0,2021-22,,,,,,,,,,,,,Home
2021-10-28,Barcelona,Maccabi Tel Aviv,68.0,85.0,2021-22,,,,,,,,,,,,,Away
2021-10-28,Red Star Belgrade,Olimpia Milano,62.0,79.0,2021-22,,,,,,,,,,,,,Away
2021-10-28,Fenerbahce,Olympiacos,65.0,67.0,2021-22,,,,,,,,,,,,,Away
2021-10-29,Real Madrid,UNICS Kazan,58.0,65.0,2021-22,,,,,,,,,,,,,Away
2021-10-29,Baskonia,Zenit,54.0,83.0,2021-22,,,,,,,,,,,,,Away
2021-10-29,ASVEL,Panathinaikos,84.0,70.0,2021-22,,,,,,,,,,,,,Home
2021-10-29,Zalgiris,Efes,60.0,94.0,2021-22,,,,,,,,,,,,,Away
2021-10-29,CSKA Moscow,Monaco,80.0,97.0,2021-22,,,,,,,,,,,,,Away
2021-11-04,Fenerbahce,CSKA Moscow,91.0,82.0,2021-22,,,,,,,,,,,,,Home
2021-11-04,Barcelona,Olimpia Milano,70.0,75.0,2021-22,,,,,,,,,,,,,Away
2021-11-04,Panathinaikos,Red Star Belgrade,48.0,81.0,2021-22,,,,,,,,,,,,,Away
2021-11-04,UNICS Kazan,ASVEL,82.0,85.0,2021-22,,,,,,,,,,,,,Away
2021-11-05,ALBA Berlin,Zalgiris,79.0,71.0,2021-22,,,,,,,,,,,,,Home
2021-11-05,Maccabi Tel Aviv,Baskonia,87.0,69.0,2021-22,,,,,,,,,,,,,Home
2021-11-05,Real Madrid,Bayern Munich,80.0,76.0,2021-22,,,,,,,,,,,,,Home
2021-11-05,Zenit,Efes,90.0,79.0,2021-22,,,,,,,,,,,,,Home
2021-11-05,Monaco,Olympiacos,65.0,86.0,2021-22,,,,,,,,,,,,,Away
2021-11-11,Efes,ALBA Berlin,90.0,63.0,2021-22,,,,,,,,,,,,,Home
2021-11-11,Baskonia,Barcelona,67.0,93.0,2021-22,,,,,,,,,,,,,Away
2021-11-11,Maccabi Tel Aviv,CSKA Moscow,73.0,74.0,2021-22,,,,,,,,,,,,,Away
2021-11-11,UNICS Kazan,Panathinaikos,74.0,72.0,2021-22,,,,,,,,,,,,,Home
2021-11-11,ASVEL,Red Star Belgrade,67.0,73.0,2021-22,,,,,,,,,,,,,Away
2021-11-12,Bayern Munich,Monaco,71.0,94.0,2021-22,,,,,,,,,,,,,Away
2021-11-12,Zalgiris,Real Madrid,82.0,95.0,2021-22,,,,,,,,,,,,,Away
2021-11-12,Olympiacos,Zenit,78.0,84.0,2021-22,,,,,,,,,,,,,Away
2021-11-12,Olimpia Milano,Fenerbahce,68.0,43.0,2021-22,,,,,,,,,,,,,Home
2021-11-16,Panathinaikos,Zalgiris,69.0,76.0,2021-22,,,,,,,,,,,,,Away
2021-11-16,Red Star Belgrade,Baskonia,74.0,93.0,2021-22,,,,,,,,,,,,,Away
2021-11-16,Fenerbahce,Bayern Munich,63.0,71.0,2021-22,,,,,,,,,,,,,Away
2021-11-16,Real Madrid,ASVEL,87.0,74.0,2021-22,,,,,,,,,,,,,Home
2021-11-17,Olympiacos,Efes,69.0,88.0,2021-22,,,,,,,,,,,,,Away
2021-11-17,CSKA Moscow,Barcelona,73.0,81.0,2021-22,,,,,,,,,,,,,Away
2021-11-17,Monaco,Maccabi Tel Aviv,84.0,95.0,2021-22,,,,,,,,,,,,,Away
2021-11-17,ALBA Berlin,Zenit,66.0,75.0,2021-22,,,,,,,,,,,,,Away
2021-11-17,Olimpia Milano,UNICS Kazan,71.0,97.0,2021-22,,,,,,,,,,,,,Away
2021-11-18,Panathinaikos,Bayern Munich,78.0,81.0,2021-22,,,,,,,,,,,,,Away
2021-11-18,Red Star Belgrade,Real Madrid,67.0,79.0,2021-22,,,,,,,,,,,,,Away
2021-11-19,Barcelona,ASVEL,80.0,60.0,2021-22,,,,,,,,,,,,,Home
2021-11-19,ALBA Berlin,UNICS Kazan,71.0,85.0,2021-22,,,,,,,,,,,,,Away
2021-11-19,CSKA Moscow,Baskonia,80.0,74.0,2021-22,,,,,,,,,,,,,Home
2021-11-19,Maccabi Tel Aviv,Olympiacos,73.0,90.0,2021-22,,,,,,,,,,,,,Away
2021-11-19,Monaco,Efes,77.0,98.0,2021-22,,,,,,,,,,,,,Away
2021-11-19,Olimpia Milano,Zenit,70.0,74.0,2021-22,,,,,,,,,,,,,Away
2021-11-19,Fenerbahce,Zalgiris,75.0,86.0,2021-22,,,,,,,,,,,,,Away
2021-11-25,Bayern Munich,CSKA Moscow,74.0,77.0,2021-22,,,,,,,,,,,,,Away
2021-11-25,Real Madrid,Baskonia,88.0,60.0,2021-22,,,,,,,,,,,,,Home
2021-11-25,Efes,Fenerbahce,89.0,84.0,2021-22,,,,,,,,,,,,,Home
2021-11-25,Maccabi Tel Aviv,ALBA Berlin,86.0,91.0,2021-22,,,,,,,,,,,,,Away
2021-11-25,Zenit,Panathinaikos,64.0,70.0,2021-22,,,,,,,,,,,,,Away
2021-11-26,Zalgiris,Barcelona,73.0,96.0,2021-22,,,,,,,,,,,,,Away
2021-11-26,Olympiacos,Olimpia Milano,93.0,72.0,2021-22,,,,,,,,,,,,,Home
2021-11-26,ASVEL,Monaco,85.0,84.0,2021-22,,,,,,,,,,,,,Home
2021-11-26,UNICS Kazan,Red Star Belgrade,98.0,78.0,2021-22,,,,,,,,,,,,,Home
2021-12-02,ASVEL,Bayern Munich,65.0,73.0,2021-22,,,,,,,,,,,,,Away
2021-12-02,Panathinaikos,CSKA Moscow,77.0,97.0,2021-22,,,,,,,,,,,,,Away
2021-12-02,Maccabi Tel Aviv,Real Madrid,70.0,72.0,2021-22,,,,,,,,,,,,,Away
2021-12-02,Monaco,Fenerbahce,86.0,96.0,2021-22,,,,,,,,,,,,,Away
2021-12-02,Baskonia,Zalgiris,68.0,72.0,2021-22,,,,,,,,,,,,,Away
2021-12-03,Red Star Belgrade,Zenit,69.0,58.0,2021-22,,,,,,,,,,,,,Home
2021-12-03,Olimpia Milano,ALBA Berlin,76.0,81.0,2021-22,,,,,,,,,,,,,Away
2021-12-03,Barcelona,Efes,95.0,93.0,2021-22,,,,,,,,,,,,,Home
2021-12-03,Olympiacos,UNICS Kazan,87.0,84.0,2021-22,,,,,,,,,,,,,Home
2021-12-09,ASVEL,Baskonia,66.0,91.0,2021-22,,,,,,,,,,,,,Away
2021-12-09,Fenerbahce,Zenit,86.0,80.0,2021-22,,,,,,,,,,,,,Home
2021-12-09,Efes,Bayern Munich,71.0,83.0,2021-22,,,,,,,,,,,,,Away
2021-12-09,UNICS Kazan,Maccabi Tel Aviv,85.0,74.0,2021-22,,,,,,,,,,,,,Home
2021-12-09,Olympiacos,Red Star Belgrade,76.0,81.0,2021-22,,,,,,,,,,,,,Away
2021-12-10,Real Madrid,Barcelona,80.0,93.0,2021-22,,,,,,,,,,,,,Away
2021-12-10,Olimpia Milano,Monaco,71.0,65.0,2021-22,,,,,,,,,,,,,Home
2021-12-10,ALBA Berlin,Panathinaikos,67.0,82.0,2021-22,,,,,,,,,,,,,Away
2021-12-10,CSKA Moscow,Zalgiris,73.0,51.0,2021-22,,,,,,,,,,,,,Home
2021-12-14,Maccabi Tel Aviv,Fenerbahce,79.0,90.0,2021-22,,,,,,,,,,,,,Away
2021-12-14,ALBA Berlin,Real Madrid,64.0,87.0,2021-22,,,,,,,,,,,,,Away
2021-12-14,Barcelona,Red Star Belgrade,76.0,69.0,2021-22,,,,,,,,,,,,,Home
2021-12-14,Baskonia,Efes,72.0,87.0,2021-22,,,,,,,,,,,,,Away
2021-12-14,Panathinaikos,Olimpia Milano,54.0,75.0,2021-22,,,,,,,,,,,,,Away
2021-12-15,Monaco,Zalgiris,107.0,98.0,2021-22,,,,,,,,,,,,,Home
2021-12-15,Zenit,ASVEL,71.0,61.0,2021-22,,,,,,,,,,,,,Home
2021-12-15,UNICS Kazan,CSKA Moscow,88.0,67.0,2021-22,,,,,,,,,,,,,Home
2021-12-15,Bayern Munich,Olympiacos,60.0,83.0,2021-22,,,,,,,,,,,,,Away
2021-12-16,Efes,Maccabi Tel Aviv,92.0,78.0,2021-22,,,,,,,,,,,,,Home
2021-12-16,Real Madrid,Olimpia Milano,75.0,73.0,2021-22,,,,,,,,,,,,,Home
2021-12-16,Barcelona,Panathinaikos,85.0,82.0,2021-22,,,,,,,,,,,,,Home
2021-12-16,Baskonia,Fenerbahce,53.0,75.0,2021-22,,,,,,,,,,,,,Away
2021-12-17,Zalgiris,UNICS Kazan,53.0,66.0,2021-22,,,,,,,,,,,,,Away
2021-12-17,CSKA Moscow,ALBA Berlin,93.0,90.0,2021-22,,,,,,,,,,,,,Home
2021-12-17,Zenit,Monaco,85.0,74.0,2021-22,,,,,,,,,,,,,Home
2021-12-17,ASVEL,Olympiacos,54.0,89.0,2021-22,,,,,,,,,,,,,Away
2021-12-17,Bayern Munich,Red Star Belgrade,78.0,81.0,2021-22,,,,,,,,,,,,,Away
2021-12-22,UNICS Kazan,Barcelona,109.0,111.0,2021-22,,,,,,,,,,,,,Away
2021-12-22,Red Star Belgrade,Efes,83.0,84.0,2021-22,,,,,,,,,,,,,Away
2021-12-22,Monaco,ALBA Berlin,84.0,92.0,2021-22,,,,,,,,,,,,,Away
2021-12-23,Baskonia,Bayern Munich,81.0,76.0,2021-22,,,,,,,,,,,,,Home
2021-12-23,Olympiacos,Panathinaikos,84.0,65.0,2021-22,,,,,,,,,,,,,Home
2021-12-23,CSKA Moscow,Real Madrid,65.0,71.0,2021-22,,,,,,,,,,,,,Away
2021-12-23,Maccabi Tel Aviv,Zenit,71.0,73.0,2021-22,,,,,,,,,,,,,Away
2021-12-23,Fenerbahce,ASVEL,82.0,84.0,2021-22,,,,,,,,,,,,,Away
2021-12-29,Maccabi Tel Aviv,Monaco,76.0,82.0,2021-22,,,,,,,,,,,,,Away
2021-12-30,Efes,UNICS Kazan,67.0,75.0,2021-22,,,,,,,,,,,,,Away
2021-12-30,Barcelona,Baskonia,75.0,94.0,2021-22,,,,,,,,,,,,,Away
2021-12-30,Zenit,Red Star Belgrade,80.0,76.0,2021-22,,,,,,,,,,,,,Home
2022-01-11,Zalgiris,Bayern Munich,65.0,74.0,2021-22,,,,,,,,,,,,,Away
2022-01-11,Olympiacos,Fenerbahce,80.0,94.0,2021-22,,,,,,,,,,,,,Away
2022-01-11,Olimpia Milano,Barcelona,75.0,73.0,2021-22,,,,,,,,,,,,,Home
2022-01-12,CSKA Moscow,Panathinaikos,98.0,74.0,2021-22,,,,,,,,,,,,,Home
2022-01-13,Efes,Barcelona,77.0,82.0,2021-22,,,,,,,,,,,,,Away
2022-01-13,Monaco,Bayern Munich,83.0,78.0,2021-22,,,,,,,,,,,,,Home
2022-01-14,ASVEL,CSKA Moscow,83.0,90.0,2021-22,,,,,,,,,,,,,Away
2022-01-14,Baskonia,Real Madrid,74.0,89.0,2021-22,,,,,,,,,,,,,Away
2022-01-18,Monaco,ASVEL,100.0,75.0,2021-22,,,,,,,,,,,,,Home
2022-01-18,ALBA Berlin,Olimpia Milano,76.0,84.0,2021-22,,,,,,,,,,,,,Away
2022-01-20,Real Madrid,ALBA Berlin,89.0,74.0,2021-22,,,,,,,,,,,,,Home
2022-01-20,Olympiacos,Maccabi Tel Aviv,69.0,84.0,2021-22,,,,,,,,,,,,,Away
2022-01-20,Monaco,Zenit,86.0,77.0,2021-22,,,,,,,,,,,,,Home
2022-01-20,Zalgiris,Fenerbahce,67.0,73.0,2021-22,,,,,,,,,,,,,Away
2022-01-20,Barcelona,UNICS Kazan,64.0,70.0,2021-22,,,,,,,,,,,,,Away
2022-01-21,Panathinaikos,Efes,81.0,82.0,2021-22,,,,,,,,,,,,,Away
2022-01-21,Olimpia Milano,CSKA Moscow,67.0,57.0,2021-22,,,,,,,,,,,,,Home
2022-01-21,Red Star Belgrade,ASVEL,67.0,69.0,2021-22,,,,,,,,,,,,,Away
2022-01-21,Bayern Munich,Baskonia,84.0,77.0,2021-22,,,,,,,,,,,,,Home
2022-01-25,ALBA Berlin,Maccabi Tel Aviv,78.0,87.0,2021-22,,,,,,,,,,,,,Away
2022-01-25,UNICS Kazan,Real Madrid,68.0,85.0,2021-22,,,,,,,,,,,,,Away
2022-01-25,Bayern Munich,ASVEL,77.0,68.0,2021-22,,,,,,,,,,,,,Home
2022-01-27,Red Star Belgrade,Olympiacos,76.0,72.0,2021-22,,,,,,,,,,,,,Home
2022-01-27,Efes,Zenit,67.0,76.0,2021-22,,,,,,,,,,,,,Away
2022-01-27,ASVEL,Barcelona,71.0,84.0,2021-22,,,,,,,,,,,,,Away
2022-01-28,ALBA Berlin,Bayern Munich,56.0,62.0,2021-22,,,,,,,,,,,,,Away
2022-01-28,Zalgiris,Olimpia Milano,58.0,65.0,2021-22,,,,,,,,,,,,,Away
2022-01-28,Real Madrid,Monaco,90.0,84.0,2021-22,,,,,,,,,,,,,Home
2022-01-28,Baskonia,Panathinaikos,63.0,75.0,2021-22,,,,,,,,,,,,,Away
2022-01-28,CSKA Moscow,UNICS Kazan,86.0,75.0,2021-22,,,,,,,,,,,,,Home
2022-02-01,Olimpia Milano,Red Star Belgrade,63.0,57.0,2021-22,,,,,,,,,,,,,Home
2022-02-01,Bayern Munich,Barcelona,66.0,71.0,2021-22,,,,,,,,,,,,,Away
2022-02-01,Monaco,Panathinaikos,91.0,83.0,2021-22,,,,,,,,,,,,,Home
2022-02-01,ASVEL,Fenerbahce,76.0,85.0,2021-22,,,,,,,,,,,,,Away
2022-02-01,Zenit,Baskonia,90.0,82.0,2021-22,,,,,,,,,,,,,Home
2022-02-01,Maccabi Tel Aviv,Zalgiris,94.0,78.0,2021-22,,,,,,,,,,,,,Home
2022-02-02,UNICS Kazan,ALBA Berlin,53.0,81.0,2021-22,,,,,,,,,,,,,Away
2022-02-02,Efes,CSKA Moscow,99.0,97.0,2021-22,,,,,,,,,,,,,Home
2022-02-02,Olympiacos,Real Madrid,67.0,75.0,2021-22,,,,,,,,,,,,,Away
2022-02-03,Monaco,Red Star Belgrade,91.0,80.0,2021-22,,,,,,,,,,,,,Home
2022-02-03,Fenerbahce,Olimpia Milano,71.0,60.0,2021-22,,,,,,,,,,,,,Home
2022-02-03,Panathinaikos,Barcelona,60.0,86.0,2021-22,,,,,,,,,,,,,Away
2022-02-03,Maccabi Tel Aviv,Bayern Munich,52.0,70.0,2021-22,,,,,,,,,,,,,Away
2022-02-04,ASVEL,Efes,72.0,78.0,2021-22,,,,,,,,,,,,,Away
2022-02-04,ALBA Berlin,CSKA Moscow,72.0,91.0,2021-22,,,,,,,,,,,,,Away
2022-02-04,Zenit,Real Madrid,64.0,85.0,2021-22,,,,,,,,,,,,,Away
2022-02-04,Olympiacos,Baskonia,72.0,62.0,2021-22,,,,,,,,,,,,,Home
2022-02-04,UNICS Kazan,Zalgiris,76.0,67.0,2021-22,,,,,,,,,,,,,Home
2022-02-08,Real Madrid,Fenerbahce,51.0,66.0,2021-22,,,,,,,,,,,,,Away
2022-02-08,Olimpia Milano,Zalgiris,74.0,70.0,2021-22,,,,,,,,,,,,,Home
2022-02-10,Efes,Olympiacos,85.0,87.0,2021-22,,,,,,,,,,,,,Away
2022-02-10,Zenit,ALBA Berlin,67.0,76.0,2021-22,,,,,,,,,,,,,Away
