iter	Passed	Remaining
406	4970	7241
407	4987	7236
408	5002	7228
409	5014	7216
410	5030	7209
411	5045	7201
412	5063	7197
413	5083	7195
414	5100	7190
415	5117	7183
416	5130	7172
417	5146	7165
418	5168	7166
419	5184	7159
420	5200	7151
421	5215	7144
422	5230	7134
423	5250	7132
424	5263	7121
425	5281	7116
426	5294	7104
427	5308	7094
428	5319	7080
429	5338	7076
430	5352	7066
431	5365	7054
432	5379	7044
433	5396	7038
434	5411	7029
435	5426	7019
436	5442	7011
437	5456	7001
438	5472	6992
439	5488	6985
440	5503	6976
441	5518	6967
442	5542	6968
443	5572	6978
444	5589	6970
445	5606	6963
446	5623	6956
447	5637	6946
448	5658	6944
449	5690	6954
450	5709	6949
451	5725	6941
452	5743	6935
453	5759	6926
454	5776	6918
455	5788	6905
456	5806	6898
457	5821	6889
458	5838	6881
459	5855	6873
460	5871	6865
461	5885	6853
462	5900	6843
463	5918	6836
464	5931	6824
465	5945	6813
466	5963	6805
467	5976	6794
468	5989	6780
469	6004	6771
470	6023	6765
471	6037	6754
472	6052	6744
473	6068	6734
474	6082	6723
475	6097	6712
476	6112	6701
477	6126	6690
478	6140	6679
479	6157	6670
480	6174	6662
481	6192	6654
482	6205	6642
483	6223	6634
484	6238	6624
485	6251	6611
486	6267	6601
487	6281	6589
488	6295	6578
489	6310	6568
490	6326	6557
491	6340	6546
492	6361	6542
493	6375	6530
494	6388	6518
495	6404	6507
496	6420	6497
497	6434	6485
498	6448	6473
499	6462	6462
500	6476	6450
501	6490	6438
502	6506	6428
503	6521	6417
504	6534	6405
505	6548	6393
506	6563	6382
507	6577	6370
508	6591	6358
509	6606	6347
510	6620	6335
511	6634	6323
512	6647	6310
513	6662	6299
514	6675	6286
515	6687	6273
516	6703	6262
517	6718	6251
518	6731	6238
519	6745	6226
520	6758	6214
521	6772	6201
522	6785	6188
523	6800	6177
524	6815	6166
525	6833	6158
526	6848	6146
527	6864	6136
528	6878	6124
529	6896	6115
530	6909	6102
531	6923	6090
532	6938	6079
533	6952	6067
534	6968	6056
535	6982	6044
536	6996	6032
537	7010	6020
538	7022	6005
539	7030	5989
540	7039	5972
541	7047	5955
542	7055	5938
543	7063	5920
544	7073	5905
545	7081	5888
546	7088	5870
547	7096	5853
548	7104	5835
549	7112	5819
550	7121	5803
551	7131	5788
552	7140	5771
553	7149	5755
554	7157	5739
555	7166	5723
556	7175	5706
557	7183	5690
558	7191	5673
559	7199	5656
560	7206	5639
561	7214	5622
562	7222	5605
563	7231	5590
564	7240	5574
565	7249	5558
566	7258	5543
567	7266	5526
568	7273	5509
569	7281	5493
570	7289	5477
571	7298	5460
572	7306	5444
573	7315	5428
574	7323	5412
575	7346	5407
576	7355	5392
577	7363	5376
578	7372	5360
579	7380	5344
580	7388	5328
581	7396	5312
582	7404	5296
583	7412	5279
584	7419	5263
585	7430	5249
586	7439	5234
587	7446	5217
588	7455	5202
589	7463	5186
590	7471	5170
591	7479	5154
592	7487	5138
593	7496	5123
594	7506	5109
595	7514	5093
596	7522	5077
597	7530	5062
598	7539	5047
599	7546	5031
600	7554	5015
601	7561	4999
602	7569	4983
603	7578	4968
604	7587	4954
605	7595	4938
606	7603	4922
607	7611	4907
608	7619	4891
609	7627	4876
610	7635	4861
611	7643	4845
612	7651	4830
613	7659	4815
614	7668	4800
615	7677	4785
616	7685	4770
617	7693	4755
618	7701	4740
619	7709	4724
620	7717	4709
621	7725	4694
622	7734	4680
623	7761	4677
624	7771	4662
625	7781	4648
626	7791	4634
627	7801	4621
628	7811	4607
629	7821	4593
630	7831	4579
631	7842	4566
632	7852	4552
633	7861	4538
634	7869	4523
635	7878	4509
636	7886	4494
637	7893	4478
638	7901	4463
639	7909	4449
640	7917	4434
641	7924	4419
642	7932	4404
643	7940	4389
644	7948	4374
645	7957	4360
646	7964	4345
647	7973	4331
648	7980	4316
649	7988	4301
650	7996	4286
651	8007	4274
652	8017	4260
653	8025	4246
654	8034	4231
655	8041	4217
656	8049	4202
657	8059	4189
658	8069	4175
659	8077	4160
660	8085	4146
661	8095	4133
662	8106	4120
663	8115	4106
664	8124	4092
665	8134	4079
666	8142	4065
667	8152	4051
668	8161	4037
669	8169	4023
670	8177	4009
671	8185	3995
672	8196	3982
673	8203	3968
674	8211	3953
675	8219	3939
676	8231	3927
677	8239	3913
678	8247	3899
679	8255	3885
680	8265	3871
681	8274	3858
682	8285	3845
683	8293	3831
684	8303	3818
685	8312	3805
686	8321	3791
687	8334	3779
688	8365	3775
689	8374	3762
690	8384	3749
691	8395	3736
692	8404	3723
693	8414	3709
694	8422	3696
695	8431	3682
696	8439	3668
697	8446	3654
698	8454	3640
699	8462	3626
700	8471	3613
701	8478	3598
702	8485	3585
703	8493	3571
704	8501	3557
705	8508	3543
706	8515	3529
707	8523	3515
708	8531	3501
709	8539	3487
710	8546	3473
711	8554	3460
712	8562	3446
713	8574	3434
714	8586	3422
715	8598	3410
716	8607	3397
717	8616	3384
718	8627	3371
719	8637	3359
720	8649	3347
721	8659	3334
722	8668	3320
723	8676	3307
724	8685	3294
725	8693	3281
726	8714	3272
727	8725	3260
728	8733	3246
729	8744	3234
730	8753	3221
731	8761	3207
732	8768	3194
733	8776	3180
734	8785	3167
735	8792	3153
736	8800	3140
737	8809	3127
738	8816	3113
739	8825	3100
740	8833	3087
741	8843	3075
742	8853	3062
743	8862	3049
744	8870	3036
745	8878	3022
746	8887	3010
747	8898	2997
748	8910	2985
749	8920	2973
750	8930	2960
751	8938	2947
752	8948	2935
753	8958	2922
754	8970	2911
755	8981	2898
756	8992	2886
757	9000	2873
758	9010	2861
759	9020	2848
760	9031	2836
761	9040	2823
762	9050	2811
763	9059	2798
764	9069	2786
765	9078	2773
766	9087	2760
767	9095	2747
768	9103	2734
769	9112	2721
770	9122	2709
771	9132	2697
772	9140	2684
773	9148	2671
774	9156	2658
775	9164	2645
776	9174	2633
777	9186	2621
778	9195	2608
779	9205	2596
780	9214	2583
781	9221	2570
782	9230	2558
783	9240	2545
784	9251	2533
785	9259	2521
786	9268	2508
787	9276	2495
788	9286	2483
789	9296	2471
790	9305	2458
791	9321	2448
792	9342	2438
793	9368	2430
794	9419	2428
795	9434	2417
796	9448	2406
797	9458	2394
798	9468	2382
799	9480	2370
800	9493	2358
801	9504	2346
802	9515	2334
803	9530	2323
804	9541	2311
805	9559	2300
806	9588	2293
807	9600	2281
808	9620	2271
809	9634	2260
810	9652	2249
811	9679	2240
812	9692	2229
813	9704	2217
814	9719	2206
815	9734	2195
816	9748	2183
817	9759	2171
818	9773	2159
819	9783	2147
820	9794	2135
821	9811	2124
822	9827	2113
823	9840	2101
824	9850	2089
825	9858	2076
826	9867	2064
827	9876	2051
828	9894	2040
829	9903	2028
830	9912	2015
831	9921	2003
832	9931	1991
833	9941	1978
834	9958	1967
835	9967	1955
836	9978	1943
837	9989	1931
838	9999	1918
839	10018	1908
840	10028	1896
841	10040	1884
842	10049	1871
843	10059	1859
844	10068	1846
845	10077	1834
846	10105	1825
847	10114	1813
848	10124	1800
849	10133	1788
850	10144	1776
851	10165	1765
852	10174	1753
853	10182	1740
854	10190	1728
855	10200	1715
856	10209	1703
857	10217	1690
858	10225	1678
859	10234	1666
860	10242	1653
861	10250	1641
862	10264	1629
863	10274	1617
864	10282	1604
865	10291	1592
866	10299	1579
867	10308	1567
868	10332	1557
869	10341	1545
870	10349	1532
871	10358	1520
872	10366	1508
873	10375	1495
874	10383	1483
875	10392	1471
876	10418	1461
877	10429	1449
878	10439	1437
879	10446	1424
880	10455	1412
881	10464	1399
882	10472	1387
883	10494	1377
884	10504	1365
885	10512	1352
886	10521	1340
887	10530	1328
888	10538	1315
889	10546	1303
890	10554	1291
891	10563	1278
892	10571	1266
893	10579	1254
894	10587	1242
895	10596	1229
896	10605	1217
897	10621	1206
898	10639	1195
899	10647	1183
900	10656	1170
901	10664	1158
902	10672	1146
903	10679	1134
904	10687	1121
905	10695	1109
906	10702	1097
907	10710	1085
908	10718	1073
909	10725	1060
910	10733	1048
911	10741	1036
912	10748	1024
913	10755	1012
914	10763	999
915	10771	987
916	10779	975
917	10786	963
918	10794	951
919	10803	939
920	10811	927
921	10819	915
922	10826	903
923	10834	891
924	10843	879
925	10850	867
926	10859	855
927	10867	843
928	10875	831
929	10883	819
930	10892	807
931	10901	795
932	10910	783
933	10919	771
934	10927	759
935	10935	747
936	10946	735
937	10955	724
938	10963	712
939	10971	700
940	10979	688
941	10988	676
942	10996	664
943	11004	652
944	11012	640
945	11020	629
946	11028	617
947	11036	605
948	11044	593
949	11052	581
950	11060	569
951	11067	558
952	11074	546
953	11082	534
954	11090	522
955	11097	510
956	11106	499
957	11115	487
958	11122	475
959	11130	463
960	11138	452
961	11146	440
962	11153	428
963	11160	416
964	11167	405
965	11174	393
966	11181	381
967	11188	369
968	11196	358
969	11204	346
970	11211	334
971	11219	323
972	11227	311
973	11234	299
974	11243	288
975	11251	276
976	11259	265
977	11266	253
978	11273	241
979	11280	230
980	11289	218
981	11297	207
982	11306	195
983	11315	183
984	11323	172
985	11331	160
986	11340	149
987	11348	137
988	11358	126
989	11366	114
990	11373	103
991	11380	91
992	11387	80
993	11394	68
994	11401	57
995	11408	45
996	11415	34
997	11421	22
998	11429	11
999	11435	0
